,,lower_bound,lower_bound,lower_bound,lower_bound,upper_bound,upper_bound,upper_bound,upper_bound
currency,,GBP,MXN,PEN,USD,GBP,MXN,PEN,USD
page_id,page_name,,,,,,,,
34839376970,Infobae,,,,23600.0,,,,29584.0
58895017663,Banco Interamericano de Desarrollo,,,,1400.0,,,,2786.0
117001009126,PROMSEX,,,1300.0,,,,4468.0,
100198778518392,Mg. Luis Gallardo Gálvez,,,11300.0,,,,14678.0,
100257651988705,MediFast L&M,,,300.0,,,,25941.0,
100330785132565,Saca tu cuenta,,,,20400.0,,,,33789.0
100372761998126,Enver Flores Ojeda,,,3500.0,,,,11024.0,
100386664728880,Ernesto Zunini,,,13800.0,,,,16489.0,
100649128244355,Miguel Pérez,,,100.0,,,,496.0,
100649128244355,Miguel Pérez Pol.,,,200.0,,,,695.0,
100649128244355,Miguel Pérez-Política y Social,,,9000.0,,,,15043.0,
100667365286868,Asceli Rabasa,,,4700.0,,,,7872.0,
100667365286868,Asceli Rabasa 10,,,4000.0,,,,6079.0,
100685622016966,Natalia Taco - Oficial,,,5100.0,,,,7282.0,
101311221694306,Nil Luna,,,9200.0,,,,13280.0,
101311221694306,Nil Luna al congreso,,,2600.0,,,,3693.0,
101720841658652,Medaly Huaman Región Ica,,,4500.0,,,,7668.0,
101720841658652,Medaly Huaman al Congreso por Ica,,,800.0,,,,1493.0,
101816778261420,Piensa.pe,,,,187500.0,,,,254508.0
101892898786829,Despierta Perú,,,,2000.0,,,,2499.0
102016708354878,Jeri Ramon Ruffner,,,1700.0,,,,3284.0,
102016708354878,Jeri Ramón Ruffner,,,4800.0,,,,9156.0,
102098544497318,Alfredo Perez Alcalde 2023,,,1400.0,,,,3380.0,
102138138335502,Pepe Pozo al Congreso,,,8500.0,,,,11371.0,
102138138335502,no disponible,,,400.0,,,,697.0,
102344912019605,El Mayor Riesgo es,,,,100.0,,,,22672.0
102533848285908,Veronica Escobal Ordóñez,,,1100.0,,,,6545.0,
102673481661276,Jorge Seminario,,,12400.0,,,,17952.0,
103029921716893,Juan Valverde,,,3400.0,,,,22507.0,
103105511704815,Freddy Aréstegui Saavedra,,,13900.0,,,,23206.0,
103215578466089,Datalimon,,,7200.0,4700.0,,,15136.0,7373.0
103218915010607,elprofearanda18,,,7400.0,,,,11966.0,
103332505036849,Deborah Inga Zapata,,,14600.0,,,,19170.0,
103548778388958,Gabriela Coaguila,,,300.0,700.0,,,1092.0,2086.0
103770648368639,Konnie Vidaurre,,,,3600.0,,,,13203.0
103807051866147,Pormifamilia,,,0.0,4700.0,,,99.0,12323.0
103899138320288,Jouliano Seminario,,,23200.0,,,,35290.0,
103903134990350,Digital TVGO,,,4600.0,,,,6588.0,
104628238147151,Sergio Vasquez Coronado,,,8400.0,,,,11873.0,
104938247754336,Clara BCP,,,,1300.0,,,,2488.0
106180834755385,Donald Torrico Mostajo,,,6100.0,,,,15117.0,
106417418305803,Exíge-te Perú,,,,7200.0,,,,10974.0
106775297428865,Isabel Manrique,,,2400.0,,,,8934.0,
106846268009745,Margarita Rodriguez,,,6400.0,,,,9568.0,
106854614088402,Pepe Luna Morales,,,199400.0,52100.0,,,242253.0,65957.0
106968764921490,Progresa Perú,,,,9800.0,,,,14750.0
107202871320408,Jorge Chávez Alvarez,,,100.0,2200.0,,,694.0,4481.0
107204894072263,Ursula Moscoso Martínez,,,4400.0,,,,6285.0,
107378318175855,Luchopormipais,,,,1100.0,,,,2585.0
107378318175855,Votopormipaís,,,,2100.0,,,,3684.0
107507580716294,Leslye Lazo,,,38500.0,,,,54860.0,
107674917831466,Ana Cecilia Garzon,,,7900.0,,,,12256.0,
107850294470186,Marco Zevallos,,,4400.0,,,,6875.0,
107912051341245,Valera Morillo,,,5100.0,,,,10050.0,
108008647768570,Luis Hurtado Valencia,,,600.0,0.0,,,1095.0,99.0
108008647768570,The Luis Hurtado Team,,,11500.0,200.0,,,18232.0,992.0
108063927782769,Raquel Medina,,,4500.0,,,,6385.0,
108143704453362,Shadia Valdez T,,,0.0,2200.0,,,1188.0,5764.0
108143704453362,Shadia al Congreso,,,0.0,0.0,,,891.0,198.0
108198570574884,Gustavo Cesti Cardó,,1300.0,7300.0,,,1696.0,12250.0,
109091011430956,Ultra Fighter: Supernova,,,,169700.0,,,,210793.0
109101387687973,Piensa Música,,,,4600.0,,,,5994.0
109192677992923,Elige tu Lucha,,,,0.0,,,,23958.0
109614831277046,Unidos por un Perú mejor,,,18100.0,,,,24654.0,
109789794548552,Juan Matzumura,,,12600.0,,,,19431.0,
110542577757410,Vota y Vota Bien,,,,1000.0,,,,2584.0
111470355596678,ONPE Oficina Nacional de Procesos Electorales - Perú,,,,6500.0,,,,8088.0
111742210321219,Julio Sal y Rosas Guerrero,,,10900.0,,,,25750.0,
111756757285776,Laidy Peceros,,,400.0,,,,697.0,
111816763739659,Digital TV Noticias,,,0.0,2700.0,,,99.0,3694.0
112315540399875,Propuesta Paco Gavidia,,,3300.0,,,,19635.0,
112652230539548,Preston Melamina,,,4000.0,,,,4499.0,
112755042067857,Instituto Peruano de Economía - IPE,,,1100.0,11000.0,,,2387.0,14382.0
112992267268835,"Cambió Trujillo, Cambiará el Perú - CAP Presidente",,,0.0,,,,297.0,
112992267268835,"Mi Compromiso Con El Gran Cambio De La Región, Acuña Lo Hace",,,5500.0,,,,8668.0,
113857973395461,Luis Angel Aragón - Congresista de la República,,,300.0,,,,1785.0,
113857973395461,Luis Angel Aragón Carreño,,,0.0,,,,99.0,
114450806989403,El Importador,,,900.0,,,,1395.0,
114869120240314,Pepe Pajuelo Oliveri,,,5300.0,,,,7181.0,
115014573270088,Aron Espinoza,,,32500.0,,,,43268.0,
116832580445194,PerúCheck,,,7600.0,,,,9691.0,
116937091779490,Jóvenes Fuerza Popular Keiko,,,,4500.0,,,,6694.0
119723768043679,Grupo Verona,,,3600.0,0.0,,,8748.0,198.0
120608763182000,José Henrry Flores Díaz,,,20900.0,,,,26848.0,
121135514583662,World Vision Perú,,,,3900.0,,,,8058.0
121759302958701,René Chávez - El Médico del Pueblo,,,,0.0,,,,1782.0
124560987619120,Imasolu: Estudios de mercado y Marketing,,,5800.0,,,,9364.0,
133074956714225,Jurado Nacional de Elecciones del Perú,,,6100.0,500.0,,,7288.0,995.0
133644486670469,JustoMedio,,,,1100.0,,,,1793.0
140765589379192,Pedro Spadaro,,,0.0,,,,396.0,
142062936237878,Goberna,,,,4400.0,,,,42020.0
143175009597452,Iván Hernández,,,7800.0,,,,13740.0,
161170137278613,Banco de Crédito BCP,,,,2000.0,,,,2598.0
163612560674668,Mario Quispe,,,1800.0,,,,6255.0,
165365681856956,José Antonio Alvarado,,,,600.0,,,,3768.0
165837734193099,Pedro Morales Miranda,,,7900.0,,,,14434.0,
169154336444354,Pancho Diez-Canseco,,,32300.0,,,,44431.0,
169741473678417,Nico Talavera,,,1700.0,,,,15659.0,
173144229408518,RENIECPERU,,,,2000.0,,,,3188.0
191569760893836,Chirapaq,,,200.0,,,,299.0,
214114562821852,Noizz App,,,,10500.0,,,,12596.0
233943790279421,Jaime Salomón,,,4200.0,11100.0,,,8853.0,21911.0
236240533617906,Partido Devolucion,,,900.0,,,,3375.0,
242212052635794,Fernando Meléndez,,,4900.0,,,,8959.0,
242483566108002,Whetu,,,,2900.0,,,,9236.0
248986568895243,Speechify,,,,32700.0,,,,45289.0
251694484848356,Progresista de Apurímac,,,,0.0,,,,8019.0
253615198009828,Anglo American,2000.0,,,,2697.0,,,
257921784254554,UNICEF Perú,,,,4200.0,,,,8956.0
264223880347121,Lampadia Oficial,,,,0.0,,,,1386.0
271385249897782,Trujillo 60,,,600.0,,,,3867.0,
279474542534783,Goyo Quispe,,,300.0,,,,795.0,
314495422404390,Podemos Perú - Lambayeque,,,5000.0,,,,5998.0,
317875174912143,Presidencia del Consejo de Ministros del Perú,,,10400.0,,,,12595.0,
319226058479847,El Gallo Gronerth,,,100.0,,,,1684.0,
319226058479847,Gronerth - Alcalde de Maynas 2022,,,0.0,,,,693.0,
319749898114045,Jackpot Party Casino Community,,,,130200.0,,,,155295.0
319944412781748,Efrey Becerra JP3,,,3900.0,,,,7860.0,
325409054278267,Manolo Praeli,,,200.0,,,,1091.0,
346354539205278,Abel Bolaños - Victoria Nacional Tacna,,,0.0,,,,6534.0,
346354539205278,Victoria Nacional Tacna,,,700.0,,,,10699.0,
354279831422895,Washington Capital,,,100.0,,,,892.0,
362634630565676,Eduardo Caprile,,,0.0,,,,99.0,
362634630565676,Soy Eduardo Caprile,,,100.0,,,,199.0,
397709203763895,Lucho Durán,,,3500.0,,,,13796.0,
404055736443363,Julián Palacín,,,8500.0,,,,17707.0,
424028077806278,KAS Perú,,,,1000.0,,,,3475.0
432950953564544,Pancho Massa,,,19000.0,,,,28421.0,
455802295156178,Nuestramerica TV,,,0.0,,,,1980.0,
456858074508608,Jheydi Quiroz Palacios,,,5000.0,,,,11336.0,
461756940672455,Ashanti Perú - Red Peruana de Jóvenes Afrodescendientes,,,6800.0,,,,10166.0,
462790453744032,Sutep,,,600.0,,,,44259.0,
484861495269792,Edgard Cayotopa - Acción Popular,,,22000.0,,,,27486.0,
495706950531442,Pepe Feria,,,23000.0,,,,33415.0,
506111559721201,Mirelo Loreto,,,100.0,,,,199.0,
531332587225016,Podemos Perú - Piura,,,9000.0,,,,10497.0,
540615902771585,Flor Borja Gutierrez,,,1700.0,0.0,,,3680.0,1782.0
610541935945465,FH PERU,,,1600.0,400.0,,,2689.0,17428.0
643403425797969,Yo apoyo a Pepe Luna,,,95500.0,,,,115473.0,
687691121319854,Ernesto Álvarez Miranda,,,1300.0,,,,4864.0,
721209661258478,Felipe Castillo,,,5100.0,,,,6882.0,
729149373915986,Rextie,,,,200.0,,,,794.0
746974488735711,Charles Zapata,,,3700.0,,,,8650.0,
793399240790250,Antony Pinedo,,,18700.0,,,,29305.0,
887873504612353,R&G Indumentaria de Higiene y Seguridad,,,5800.0,,,,9071.0,
956663201099385,"Jorge Meléndez Celis, Gobernador Regional de Loreto.",,,0.0,,,,792.0,
996199500463446,Rosa Bautista Al Congreso,,,6800.0,,,,8689.0,
1193751930654464,Romelia Paredes,,,,2300.0,,,,26757.0
1413556535603177,Raúl Díaz Pérez,,,5700.0,,,,9668.0,
1430609120516628,Gorbak Infantes,,,9700.0,,,,14551.0,
1484332041689680,Roche Perú,,,200.0,,,,1091.0,
1533235346996708,Wilmer Valverde,,,9200.0,,,,13556.0,
1538852096428300,Maritza Gil,,,2900.0,,,,37055.0,
1573884479501568,Frank Krklec,,,,1500.0,,,,2395.0
1573884479501568,Frank Krklec R21,,,,1400.0,,,,1994.0
1593009867670226,Terminantemente Prohibido VOTAR basura,,,700.0,0.0,,,1393.0,2772.0
1629211737145398,Dr. José Carlos Ordoñez,,,400.0,,,,1588.0,
1648539058728237,Cruz Gerardo Saavedra,,,0.0,,,,99.0,
1701687773439212,Giancarlo Guido Casassa Sánchez - Alcalde de Surquillo,,,0.0,,,,5247.0,
1714025882234497,Iuridicas Escuela,,,5000.0,,,,5999.0,
1950868351861257,Leo Huayama,,,6400.0,,,,10166.0,
2123223541294131,APP Región La Libertad,,,7600.0,,,,28002.0,
2243526259054575,Marie Ayasta,,,5000.0,,,,10445.0,
2263394060603974,SER PRO,,,5100.0,,,,6688.0,
2271299249773092,Asociación de Contribuyentes del Perú,,,,4200.0,,,,8754.0
